"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This is a test scenario to visit a website","906","YB_TC_02_02_Test website navigation - Normal test","ProductY","Fri Apr 18 05:11:04 GMT 2025","passed","Fri Apr 18 05:11:05 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","1298","XA_TC_01_01_Test website navigation - Critical test","ProductX","Fri Apr 18 05:10:51 GMT 2025","passed","Fri Apr 18 05:10:52 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","854","XA_TC_01_05_Test website navigation - Minor test","ProductX","Fri Apr 18 05:10:53 GMT 2025","passed","Fri Apr 18 05:10:54 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","872","XB_TC_01_01_Test website navigation - Normal test","ProductX","Fri Apr 18 05:10:56 GMT 2025","passed","Fri Apr 18 05:10:57 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","977","YA_TC_03_03_Test website navigation - Blocker test","ProductY","Fri Apr 18 05:11:02 GMT 2025","passed","Fri Apr 18 05:11:03 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","943","XA_TC_01_03_Test website navigation - Blocker test","ProductX","Fri Apr 18 05:10:52 GMT 2025","passed","Fri Apr 18 05:10:53 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","955","XA_TC_02_03_Test website navigation - Blocker test","ProductX","Fri Apr 18 05:10:54 GMT 2025","passed","Fri Apr 18 05:10:55 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","841","XB_TC_02_03_Test website navigation - Blocker test","ProductX","Fri Apr 18 05:10:58 GMT 2025","passed","Fri Apr 18 05:10:59 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","862","XB_TC_02_01_Test website navigation - Critical test","ProductX","Fri Apr 18 05:10:57 GMT 2025","passed","Fri Apr 18 05:10:58 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","1312","YA_TC_03_02_Test website navigation - Normal test","ProductY","Fri Apr 18 05:11:01 GMT 2025","passed","Fri Apr 18 05:11:03 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","867","XB_TC_01_03_Test website navigation - Normal test","ProductX","Fri Apr 18 05:10:57 GMT 2025","passed","Fri Apr 18 05:10:58 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","892","YA_TC_03_05_Test website navigation - Minor test","ProductY","Fri Apr 18 05:11:03 GMT 2025","passed","Fri Apr 18 05:11:04 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","846","website navigation - Minor test","ProductX","Fri Apr 18 05:10:59 GMT 2025","passed","Fri Apr 18 05:11:00 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","827","XB_TC_02_05_Test website navigation - Minor test","ProductX","Fri Apr 18 05:10:59 GMT 2025","passed","Fri Apr 18 05:11:00 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","869","YA_TC_02_01_Test website navigation - Critical test","ProductY","Fri Apr 18 05:11:00 GMT 2025","passed","Fri Apr 18 05:11:01 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","949","XA_TC_03_02_Test website navigation - Normal test","ProductX","Fri Apr 18 05:10:55 GMT 2025","passed","Fri Apr 18 05:10:56 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","831","YA_TC_01_02_Test website navigation - Normal test","ProductY","Fri Apr 18 05:11:00 GMT 2025","passed","Fri Apr 18 05:11:01 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","846","XA_TC_02_02_Test website navigation - Normal test","ProductX","Fri Apr 18 05:10:54 GMT 2025","passed","Fri Apr 18 05:10:55 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","834","YA_TC_01_01_Test website navigation - Critical test","ProductY","Fri Apr 18 05:11:00 GMT 2025","passed","Fri Apr 18 05:11:00 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","851","XA_TC_01_04_Test website navigation - Trivial test","ProductX","Fri Apr 18 05:10:52 GMT 2025","passed","Fri Apr 18 05:10:53 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","1181","XA_TC_01_02_Test website navigation - Normal test","ProductX","Fri Apr 18 05:10:51 GMT 2025","passed","Fri Apr 18 05:10:52 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","937","XA_TC_03_01_Test website navigation - Critical test","ProductX","Fri Apr 18 05:10:55 GMT 2025","passed","Fri Apr 18 05:10:56 GMT 2025","","BrandA","",""
"This is a test scenario to visit a website","862","XB_TC_01_02_Test website navigation - Normal test","ProductX","Fri Apr 18 05:10:56 GMT 2025","passed","Fri Apr 18 05:10:57 GMT 2025","","BrandB","",""
"This is a test scenario to visit a website","812","YB_TC_02_03_Test website navigation - Blocker test","ProductY","Fri Apr 18 05:11:05 GMT 2025","passed","Fri Apr 18 05:11:06 GMT 2025","","BrandB","",""
